,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
97,189,855.0,0.43,0.19,0.24,0.0,0.08,0.06
98,190,856.0,0.43,0.18,0.24,0.0,0.1,0.05
99,191,859.0,0.47,0.14,0.2,0.05,0.09,0.05
100,192,875.0,0.43,0.24,0.22,0.0,0.05,0.06
101,193,868.0,0.43,0.24,0.23,0.0,0.05,0.05
102,194,843.0,0.47,0.12,0.2,0.05,0.11,0.05
103,195,794.0,0.43,0.15,0.17,0.05,0.14,0.06
104,196,783.0,0.42,0.1,0.3,0.05,0.07,0.06
105,197,797.0,0.47,0.11,0.22,0.05,0.1,0.05
106,198,805.0,0.47,0.13,0.2,0.05,0.1,0.05
107,199,699.0,0.29,0.22,0.34,0.0,0.05,0.1
108,200,749.0,0.47,0.07,0.16,0.09,0.16,0.05
109,201,828.0,0.43,0.14,0.21,0.05,0.12,0.05
110,202,849.0,0.47,0.18,0.15,0.05,0.1,0.05
111,203,883.0,0.47,0.2,0.18,0.05,0.05,0.05
112,204,864.0,0.43,0.18,0.2,0.0,0.12,0.07
113,205,841.0,0.47,0.17,0.16,0.05,0.1,0.05
114,206,882.0,0.43,0.22,0.22,0.0,0.08,0.05
115,207,883.0,0.43,0.22,0.23,0.0,0.07,0.05
116,208,828.0,0.43,0.2,0.21,0.0,0.09,0.07
117,209,848.0,0.43,0.22,0.25,0.0,0.05,0.05
118,210,878.0,0.47,0.19,0.19,0.05,0.05,0.05
119,211,782.0,0.43,0.29,0.18,0.0,0.05,0.05
120,212,865.0,0.43,0.25,0.22,0.0,0.05,0.05
121,213,851.5,0.445,0.22,0.195,0.025,0.065,0.05
122,214,117.0,0.07,0.233,0.233,0.0,0.233,0.233
123,215,228.0,0.13,0.217,0.217,0.0,0.217,0.217
124,243,135.3,0.025,0.25,0.225,0.0,0.25,0.25
125,244,147.2,0.05,0.25,0.2,0.0,0.25,0.25
126,245,175.3,0.075,0.25,0.175,0.0,0.25,0.25
127,246,190.4,0.1,0.25,0.15,0.0,0.25,0.25
128,247,210.6,0.125,0.25,0.125,0.0,0.25,0.25
129,248,250.3,0.15,0.25,0.1,0.0,0.25,0.25
130,249,314.1,0.175,0.25,0.075,0.0,0.25,0.25
131,250,386.5,0.2,0.25,0.05,0.0,0.25,0.25
132,251,486.3,0.225,0.25,0.025,0.0,0.25,0.25
