,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,0,486.0,0.208,0.0,0.208,0.208,0.208,0.167
1,1,469.0,0.11,0.0,0.28,0.27,0.06,0.28
2,2,358.0,0.167,0.167,0.167,0.083,0.167,0.25
3,3,477.0,0.11,0.0,0.28,0.29,0.07,0.25
4,4,140.0,0.0,0.267,0.267,0.0,0.267,0.2
5,5,567.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0
6,6,167.0,0.0,0.213,0.213,0.213,0.213,0.15
7,7,494.0,0.217,0.0,0.217,0.217,0.217,0.13
8,8,550.0,0.238,0.05,0.238,0.0,0.238,0.238
9,9,273.0,0.138,0.172,0.172,0.172,0.172,0.172
10,10,538.0,0.179,0.205,0.205,0.0,0.205,0.205
11,11,182.0,0.0,0.238,0.238,0.238,0.05,0.238
12,12,265.0,0.154,0.154,0.154,0.0,0.154,0.385
13,13,423.0,0.182,0.182,0.182,0.182,0.182,0.091
14,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0
15,50,580.0,0.23,0.15,0.23,0.08,0.15,0.16
16,51,135.0,0.077,0.308,0.0,0.0,0.308,0.308
17,52,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0
18,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
19,54,139.0,0.0,0.25,0.25,0.0,0.25,0.25
20,55,408.0,0.192,0.0,0.192,0.192,0.192,0.231
21,56,629.0,0.28,0.1,0.27,0.1,0.05,0.2
22,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
23,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
24,94,548.0,0.225,0.225,0.225,0.0,0.225,0.1
25,95,655.0,0.359,0.128,0.128,0.128,0.128,0.128
26,96,157.0,0.0,0.167,0.167,0.167,0.333,0.167
27,97,450.0,0.118,0.0,0.294,0.0,0.441,0.147
28,98,200.0,0.074,0.0,0.185,0.185,0.185,0.37
29,99,310.0,0.154,0.154,0.154,0.077,0.154,0.308
30,100,625.0,0.333,0.133,0.133,0.133,0.133,0.133
31,101,555.0,0.213,0.213,0.213,0.0,0.213,0.15
32,102,546.0,0.2,0.2,0.1,0.1,0.2,0.2
33,103,170.0,0.0,0.225,0.225,0.225,0.225,0.1
34,104,516.0,0.2,0.2,0.2,0.0,0.2,0.2
35,105,764.0,0.43,0.06,0.33,0.06,0.06,0.06
36,106,153.0,0.0,0.238,0.05,0.238,0.238,0.238
37,107,338.0,0.149,0.213,0.213,0.0,0.213,0.213
38,108,131.0,0.086,0.229,0.229,0.0,0.229,0.229
39,109,740.0,0.429,0.143,0.143,0.0,0.143,0.143
40,110,472.0,0.1,0.0,0.35,0.25,0.05,0.25
41,111,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
42,112,170.0,0.057,0.0,0.189,0.189,0.189,0.377
43,113,545.0,0.222,0.111,0.0,0.222,0.222,0.222
44,114,415.0,0.2,0.2,0.2,0.2,0.0,0.2
45,115,475.0,0.206,0.159,0.159,0.159,0.159,0.159
46,116,242.0,0.143,0.143,0.143,0.0,0.143,0.429
47,117,451.0,0.167,0.25,0.167,0.083,0.167,0.167
48,118,475.0,0.05,0.317,0.317,0.0,0.317,0.0
49,119,370.0,0.185,0.0,0.185,0.185,0.185,0.259
50,120,702.0,0.462,0.154,0.077,0.077,0.154,0.077
51,121,168.0,0.053,0.211,0.211,0.0,0.263,0.263
52,122,166.0,0.143,0.429,0.0,0.143,0.143,0.143
53,139,459.0,0.13,0.0,0.28,0.22,0.06,0.31
54,140,546.0,0.231,0.0,0.154,0.154,0.154,0.308
55,141,558.0,0.265,0.147,0.147,0.147,0.147,0.147
56,142,593.0,0.333,0.0,0.133,0.133,0.133,0.267
57,143,125.0,0.0,0.2,0.2,0.0,0.2,0.4
58,144,695.0,0.2,0.267,0.267,0.0,0.267,0.0
59,145,473.0,0.182,0.091,0.182,0.182,0.182,0.182
